Compared With,Repeat,Pseudo-F,p-value
D001249,5,5.046544094786076,0.001
D001249,6,5.3110446430593665,0.001
D001249,7,5.191735741996367,0.001
D001249,8,5.33244203178313,0.001
D001249,9,5.009650055771582,0.001
D001249,10,6.038417145660508,0.001
D001289,1,2.4660892041509865,0.001
D001289,2,3.5144207930355087,0.001
D001289,3,2.8670901524355723,0.001
D001289,4,2.458252151027522,0.001
D001289,5,2.7709907787025596,0.001
D001289,6,2.67814195256278,0.001
D001289,7,3.210030437321288,0.001
D001289,8,3.2939214961747543,0.001
D001289,9,3.734852923279611,0.001
D001289,10,2.997820741454717,0.001
D001321,1,2.4638242035043225,0.001
D001321,2,2.120501752143324,0.002
D001321,3,2.238341552421997,0.001
D001321,4,1.48995649026881,0.071
D001321,5,2.2093595423752506,0.002
D001321,6,2.3565944610197676,0.003
D001321,7,1.6990486595093384,0.034
D001321,8,2.1915410773123525,0.009
D001321,9,1.8750962588470814,0.004
D001321,10,2.9646877670565006,0.001
D001327,1,3.4685266232684424,0.001
D001327,2,2.8246074099586354,0.002
D001327,3,3.0259386361729588,0.001
D001327,4,1.990120046179201,0.007
D001327,5,2.8902125260521987,0.001
D001327,6,3.4430784891428594,0.001
D001327,7,2.925086268758386,0.001
D001327,8,2.331872731596026,0.002
D001327,9,3.1167513214323237,0.001
D001327,10,4.348842191511265,0.001
D001714,1,2.814089203612426,0.001
D001714,2,3.7379303266136454,0.001
D001714,3,4.062694493177501,0.001
D001714,4,2.7360782572370947,0.001
D001714,5,3.6057361391448515,0.001
D001714,6,1.8953308873289887,0.012
D001714,7,2.426548383688462,0.002
D001714,8,3.0142366387491326,0.001
D001714,9,3.355067258767,0.001
D001714,10,2.9805290433113725,0.001
D001943,1,3.890341092384235,0.001
D001943,2,2.8948686683015104,0.001
D001943,3,4.970514096690261,0.001
D001943,4,2.8585654070845035,0.001
D001943,5,3.5355596683690322,0.001
D001943,6,3.733827306128732,0.001
D001943,7,3.3950440197991476,0.001
D001943,8,4.090485657275368,0.001
D001943,9,3.6995538625205864,0.001
D001943,10,3.6412386885685906,0.001
D002318,1,3.8562796215155206,0.001
D002318,2,3.4358346481871367,0.001
D002318,3,2.9986269092453326,0.001
D002318,4,2.9261285031687,0.001
D002318,5,2.4060579582856576,0.002
D002318,6,2.5866999192900266,0.001
D002318,7,3.5938846962819997,0.001
D002318,8,2.500955278208753,0.001
D002318,9,5.2834446756315625,0.001
D002318,10,5.210777062236582,0.001
D002446,1,2.831907151531359,0.001
D002446,2,1.8003562771166728,0.005
D002446,3,2.46736147119099,0.001
D002446,4,2.7846719291168665,0.001
D002446,5,3.311149178936893,0.001
D002446,6,2.5046635667406676,0.001
D002446,7,3.1727442436707367,0.001
D002446,8,2.3218588197077326,0.001
D002446,9,2.505710332652502,0.001
D002446,10,2.069931999349107,0.003
D003015,1,3.1906193737283193,0.001
D003015,2,2.5303503459199033,0.001
D003015,3,2.575167005403748,0.001
D003015,4,1.9022856790392668,0.004
D003015,5,2.3117233896093534,0.001
D003015,6,2.921910297564338,0.001
D003015,7,3.062179127851919,0.001
D003015,8,3.6617712117531305,0.001
D003015,9,2.480885383411716,0.002
D003015,10,2.7554701499235974,0.001
D003093,1,1.8618313909434716,0.003
D003093,2,2.270743153805011,0.003
D003093,3,2.111643006685916,0.001
D003093,4,1.7683894390851786,0.007
D003093,5,2.2131227837117935,0.001
D003093,6,3.0542330107290256,0.001
D003093,7,2.666917657483866,0.002
D003093,8,2.0369466879820908,0.003
D003093,9,1.846187950362431,0.009
D003093,10,2.236913711729935,0.001
D003108,1,4.419392303940611,0.001
D003108,2,4.449441190653834,0.001
D003108,3,3.8239246178155213,0.001
D003108,4,3.7715062757692284,0.001
D003108,5,4.4054377635668045,0.001
D003108,6,5.081223979553402,0.001
D003108,7,4.069297649056846,0.001
D003108,8,4.820468815192202,0.001
D003108,9,3.3706359937941017,0.001
D003108,10,4.7845125545227,0.001
D003248,1,1.8525636166573907,0.009
D003248,2,2.237976715934364,0.005
D003248,3,2.0405100573545067,0.003
D003248,4,1.9812119640768444,0.009
D003248,5,1.9307484309690928,0.007
D003248,6,3.3235039199204452,0.001
D003248,7,2.052612242092777,0.001
D003248,8,1.781058185300455,0.005
D003248,9,3.545857987019172,0.001
D003248,10,1.6181252179670509,0.031
D003424,1,2.884292881158254,0.001
D003424,2,1.7501714603705745,0.016
D003424,3,2.852560738290939,0.001
D003424,4,1.7469447678267152,0.008
D003424,5,2.046976742431655,0.001
D003424,6,2.256539840564325,0.002
D003424,7,1.4081301133283406,0.075
D003424,8,2.1475703074535466,0.001
D003424,9,1.9390365615865923,0.005
D003424,10,3.1962858142104373,0.001
D003550,1,3.153689971125265,0.001
D003550,2,3.2584347486881935,0.001
D003550,3,3.2642443349303054,0.001
D003550,4,3.063664317656014,0.001
D003550,5,3.3180829466195485,0.001
D003550,6,4.06693363070637,0.001
D003550,7,3.118128307243035,0.001
D003550,8,3.113963887946068,0.001
D003550,9,2.9334617787633857,0.001
D003550,10,2.7511467830432386,0.001
D003863,1,3.4891272003489417,0.001
D003863,2,2.120274176935648,0.001
D003863,3,1.945013738653762,0.007
D003863,4,3.0317225613107013,0.001
D003863,5,2.1148433631678536,0.007
D003863,6,4.522228254892854,0.001
D003863,7,2.5532917992866278,0.001
D003863,8,3.4953154860050692,0.001
D003863,9,4.246508615990272,0.001
D003863,10,2.6159457153059242,0.001
D003920,1,3.231463827841525,0.001
D003920,2,3.2175392439552857,0.001
D003920,3,2.494013798869261,0.001
D003920,4,1.7263931506521117,0.006
D003920,5,3.3023287104386774,0.001
D003920,6,2.1683216499686253,0.001
D003920,7,2.511288672894401,0.002
D003920,8,2.498982848695233,0.001
D003920,9,2.918924439493918,0.001
D003920,10,3.2397851872414143,0.001
D003922,1,2.2758128037044023,0.003
D003922,2,3.4330817248500805,0.001
D003922,3,3.3147565821173406,0.001
D003922,4,2.8271921303570595,0.001
D003922,5,2.965396975843609,0.001
D003922,6,3.648571744693055,0.001
D003922,7,3.325706903050133,0.001
D003922,8,3.1173157749113476,0.001
D003922,9,2.61026323134322,0.001
D003922,10,2.418566786230813,0.004
D003924,1,1.9808737842572457,0.006
D003924,2,1.8258912391594,0.008
D003924,3,2.313719647154075,0.002
D003924,4,2.987764360679631,0.001
D003924,5,2.6133664697668735,0.002
D003924,6,2.148144738306387,0.005
D003924,7,2.00834503582574,0.001
D003924,8,2.1353326637192773,0.002
D003924,9,1.8843471912135852,0.002
D003924,10,2.0029376524781477,0.009
D003967,1,1.5281675713503808,0.048
D003967,2,2.2975922195739744,0.005
D003967,3,1.3904264886995714,0.072
D003967,4,1.8465608774598552,0.005
D003967,5,1.7691203230415897,0.016
D003967,6,2.649262690662735,0.001
D003967,7,2.758569402589281,0.001
D003967,8,3.1674268644302406,0.001
D003967,9,1.6560405887916787,0.019
D003967,10,1.7968638607788832,0.004
D004827,1,3.8043699159001934,0.001
D004827,2,3.268087788101861,0.001
D004827,3,2.7720810750780656,0.001
D004827,4,2.8753565687158638,0.002
D004827,5,3.461708778254472,0.001
D004827,6,3.822410065527371,0.001
D004827,7,3.4047978624235373,0.001
D004827,8,2.3605141919457084,0.001
D004827,9,3.6429289860550207,0.001
D004827,10,3.146752743290331,0.002
D005764,1,2.9399186440580145,0.001
D005764,2,2.986226364267749,0.001
D005764,3,3.201060781645605,0.001
D005764,4,3.7519517178524655,0.001
D005764,5,2.826477555097412,0.001
D005764,6,3.636272416693013,0.001
D005764,7,3.1772133111027374,0.001
D005764,8,2.9068304938976133,0.001
D005764,9,4.7617983669666994,0.001
D005764,10,3.1497278654870797,0.001
D006111,1,17.305284831124432,0.001
D006111,2,13.20614369906279,0.001
D006111,3,16.423544133343636,0.001
D006111,4,18.363188419885887,0.001
D006111,5,19.440192869874885,0.001
D006111,6,14.664987869487453,0.001
D006111,7,17.68270127059549,0.001
D006111,8,15.906985199586732,0.001
D006111,9,17.40994604599706,0.001
D006111,10,21.62198038317813,0.001
D006515,1,5.750795667046291,0.001
D006515,2,6.02323922186813,0.001
D006515,3,4.370576069078095,0.001
D006515,4,6.090045730998803,0.001
D006515,5,6.031748468950145,0.001
D006515,6,5.097526202549278,0.001
D006515,7,5.687886880058483,0.001
D006515,8,6.975454644775863,0.001
D006515,9,5.733383533154654,0.001
D006515,10,5.881427926434368,0.001
D006678,1,9.9596537503497,0.001
D006678,2,5.280987087293088,0.001
D006678,3,7.8664474726195435,0.001
D006678,4,9.11414704011812,0.001
D006678,5,9.340047225889977,0.001
D006678,6,8.678560443355034,0.001
D006678,7,9.824515964733925,0.001
D006678,8,6.317845770484311,0.001
D006678,9,10.619352690422886,0.001
D006678,10,5.2972713944694485,0.001
D006973,1,6.23010765275712,0.001
D006973,2,5.689816556902,0.001
D006973,3,5.27875379442981,0.001
D006973,4,5.051761812763868,0.001
D006973,5,6.20267543988318,0.001
D006973,6,6.79595252864671,0.001
D006973,7,5.400511587710293,0.001
D006973,8,7.36920303734864,0.001
D006973,9,9.644344915156378,0.001
D006973,10,5.274827425764055,0.001
D007230,1,8.920602857280118,0.001
D007230,2,7.092204963143299,0.001
D007230,3,7.94392806241599,0.001
D007230,4,9.55894697972864,0.001
D007230,5,8.918151224678947,0.001
D007230,6,8.721102045878705,0.001
D007230,7,8.546913101228295,0.001
D007230,8,9.11565317629932,0.001
D007230,9,9.28799122092449,0.001
D007230,10,9.074252320573299,0.001
D007234,1,9.957480276639952,0.001
D007234,2,9.303346698890342,0.001
D007234,3,8.638970973356859,0.001
D007234,4,9.71416038298285,0.001
D007234,5,7.2501127762293365,0.001
D007234,6,5.592130372006384,0.001
D007234,7,11.039453376783529,0.001
D007234,8,9.267005452184582,0.001
D007234,9,8.44711371961905,0.001
D007234,10,8.7399421810464,0.001
D007410,1,2.835097423550375,0.001
D007410,2,2.383318343496732,0.001
D007410,3,2.854696821356688,0.001
D007410,4,2.0375372790199333,0.003
D007410,5,3.547512107448357,0.001
D007410,6,3.2113308883656253,0.001
D007410,7,2.893414296676699,0.001
D007410,8,2.9554196206997623,0.001
D007410,9,2.6417932701648117,0.002
